beta,mix_ratio,cases
3.227804157897504744e-01,6.455608315795009489e-01,4.290000000000000000e+02
1.710834816979322492e-01,3.421669633958644985e-01,3.910000000000000000e+02
1.602180206968419895e-01,3.204360413936839791e-01,1.276000000000000000e+03
3.883398325203062940e-01,7.766796650406125879e-01,5.040000000000000000e+02
2.905849806827826010e-01,5.811699613655652019e-01,8.040000000000000000e+02
4.442038812998901354e-01,8.884077625997802707e-01,6.410000000000000000e+02
1.065249057206267280e-01,2.130498114412534560e-01,1.830000000000000000e+02
2.508430502495800907e-01,5.016861004991601813e-01,7.620000000000000000e+02
2.217283957068210687e-01,4.434567914136421374e-01,3.630000000000000000e+02
1.386553942160259623e-01,2.773107884320519245e-01,7.310000000000000000e+02
3.222910999178020264e-01,6.445821998356040528e-01,4.140000000000000000e+02
4.393390322960721850e-01,8.786780645921443700e-01,6.020000000000000000e+02
3.650054262214095235e-01,7.300108524428190471e-01,6.050000000000000000e+02
2.701117150386761478e-02,5.402234300773522957e-02,5.800000000000000000e+01
1.951695932142940570e-01,3.903391864285881141e-01,6.570000000000000000e+02
4.940688280847477243e-02,9.881376561694954486e-02,3.730000000000000000e+02
2.816721227249042725e-01,5.633442454498085450e-01,1.078000000000000000e+03
2.367412730399113263e-01,4.734825460798226526e-01,9.600000000000000000e+01
2.737109680305525594e-01,5.474219360611051188e-01,1.130000000000000000e+02
2.740729399743797590e-01,5.481458799487595179e-01,5.180000000000000000e+02
4.642133074978866403e-01,9.284266149957732805e-01,7.110000000000000000e+02
3.152295569864853597e-01,6.304591139729707194e-01,6.720000000000000000e+02
4.333843656911645636e-02,8.667687313823291273e-02,6.000000000000000000e+01
1.888635492607101396e-01,3.777270985214202792e-01,2.420000000000000000e+02
1.531021064261792186e-01,3.062042128523584372e-01,2.070000000000000000e+02
1.058776503787576817e-01,2.117553007575153634e-01,3.160000000000000000e+02
4.687848003232119032e-01,9.375696006464238064e-01,1.017000000000000000e+03
4.424914496686677134e-01,8.849828993373354269e-01,9.390000000000000000e+02
4.300010501721829304e-01,8.600021003443658607e-01,8.780000000000000000e+02
6.807329925506594437e-02,1.361465985101318887e-01,2.490000000000000000e+02
9.434946953352102428e-02,1.886989390670420486e-01,1.200000000000000000e+01
8.333253440614057928e-02,1.666650688122811586e-01,2.030000000000000000e+02
3.589606979196250380e-01,7.179213958392500761e-01,1.820000000000000000e+02
4.397803395757941547e-01,8.795606791515883094e-01,1.790000000000000000e+02
4.138820791590315795e-01,8.277641583180631590e-01,6.620000000000000000e+02
3.952892716658956695e-01,7.905785433317913391e-01,1.276000000000000000e+03
3.799560240531123512e-01,7.599120481062247023e-01,3.800000000000000000e+02
1.613839663660230905e-01,3.227679327320461811e-01,2.450000000000000000e+02
